# HOMER Peaks
# Peak finding parameters:
# tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/
#
# total peaks = 349
# peak size = 170
# peaks found using tags on both strands
# minimum distance between peaks = 340
# fragment length = 170
# genome size = 2000000000
# Total tags = 34760216.5
# Total tags in peaks = 7003.5
# Approximate IP efficiency = 0.02%
# tags per bp = 0.017290
# expected tags per peak = 2.939
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.618830e-08
# FDR tag threshold = 17.0
# number of putative peaks = 1033
#
# input tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 674
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 10
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/ -style factor -o auto -i /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr6-11	chr6	120858279	120858449	+	5.47	0.611	19.000000	12.9	2.0	6.46	1.36e-06	5.44	6.34e-09	0.95
chr7-19	chr7	19228408	19228578	+	5.47	0.548	18.500000	12.9	1.5	8.62	6.82e-08	5.02	2.23e-08	1.00
chr7-27	chr7	128611104	128611274	+	5.47	0.631	18.500000	12.9	1.5	8.62	6.82e-08	10.67	8.82e-14	0.97
chr7-53	chr7	139388891	139389061	+	5.47	0.560	17.000000	12.9	0.5	25.85	3.09e-13	4.85	3.75e-08	1.09
chr7-38	chr7	145206245	145206415	+	5.47	0.562	18.000000	12.9	0.5	25.85	3.09e-13	4.76	5.06e-08	1.00
chr9-50	chr9	52149359	52149529	+	5.47	0.648	19.000000	12.9	2.0	6.46	1.36e-06	5.02	2.23e-08	0.97
chr11-79	chr11	23255370	23255540	+	5.47	0.653	17.500000	12.9	1.5	8.62	6.82e-08	5.74	2.73e-09	1.06
chr11-64	chr11	28735145	28735315	+	5.47	0.721	18.500000	12.9	3.0	4.31	7.14e-05	6.70	2.24e-10	0.97
chr11-87	chr11	116024559	116024729	+	5.47	0.677	17.500000	12.9	2.5	5.17	1.26e-05	7.32	5.18e-11	1.03
chr11-62	chr11	119023139	119023309	+	5.47	0.750	19.000000	12.9	2.0	6.46	1.36e-06	5.45	6.10e-09	1.03
chr12-25	chr12	79719153	79719323	+	5.47	0.622	17.500000	12.9	2.5	5.17	1.26e-05	4.92	3.05e-08	1.03
chr19-23	chr19	8802281	8802451	+	5.47	0.519	18.500000	12.9	3.0	4.31	7.14e-05	5.83	2.12e-09	0.97
chr19-14	chr19	14598121	14598291	+	5.47	0.573	20.000000	12.9	2.0	6.46	1.36e-06	5.01	2.31e-08	0.95
chr19-21	chr19	14890661	14890831	+	5.47	0.700	19.000000	12.9	3.0	4.31	7.14e-05	5.56	4.44e-09	0.95
chr1-94	chr1	133493403	133493573	+	5.32	0.603	19.000000	12.6	0.5	25.17	3.09e-13	4.90	1.10e-07	0.93
chr1-110	chr1	169969406	169969576	+	5.32	0.683	18.500000	12.6	2.5	5.03	1.26e-05	5.67	1.25e-08	0.95
chr2-29	chr2	30392166	30392336	+	5.32	0.573	17.500000	12.6	2.0	6.29	1.36e-06	5.66	1.30e-08	0.98
chr3-17	chr3	29040208	29040378	+	5.32	0.597	18.000000	12.6	3.0	4.20	7.14e-05	5.94	6.25e-09	0.95
chr3-14	chr3	79628860	79629030	+	5.32	0.558	19.000000	12.6	3.0	4.20	7.14e-05	6.46	1.74e-09	0.93
chr5-15	chr5	135009675	135009845	+	5.32	0.582	19.000000	12.6	0.5	25.17	3.09e-13	4.47	4.07e-07	0.93
chr6-9	chr6	54554519	54554689	+	5.32	0.630	19.000000	12.6	2.5	5.03	1.26e-05	5.01	7.84e-08	0.95
chr7-29	chr7	13024130	13024300	+	5.32	0.692	18.000000	12.6	3.0	4.20	7.14e-05	6.06	4.64e-09	1.04
chr7-44	chr7	19093920	19094090	+	5.32	0.589	17.000000	12.6	1.5	8.39	6.82e-08	4.49	3.84e-07	1.01
chr7-31	chr7	25219676	25219846	+	5.32	0.770	18.000000	12.6	1.0	12.59	8.32e-10	4.83	1.33e-07	0.98
chr7-21	chr7	29039768	29039938	+	5.32	0.688	18.500000	12.6	2.0	6.29	1.36e-06	7.18	3.44e-10	0.98
chr7-47	chr7	44848661	44848831	+	5.32	0.733	17.000000	12.6	2.5	5.03	1.26e-05	4.33	6.28e-07	1.07
chr7-48	chr7	101896381	101896551	+	5.32	0.637	17.000000	12.6	2.0	6.29	1.36e-06	5.86	7.69e-09	1.07
chr7-37	chr7	111122456	111122626	+	5.32	0.671	18.000000	12.6	1.0	12.59	8.32e-10	5.51	1.92e-08	1.01
chr9-52	chr9	13827438	13827608	+	5.32	0.582	18.500000	12.6	1.0	12.59	8.32e-10	5.77	9.82e-09	1.04
chr9-68	chr9	121857724	121857894	+	5.32	0.705	17.000000	12.6	1.0	12.59	8.32e-10	5.50	1.99e-08	1.01
chr10-20	chr10	79984714	79984884	+	5.32	0.534	17.500000	12.6	2.0	6.29	1.36e-06	4.78	1.57e-07	1.04
chr11-89	chr11	23498088	23498258	+	5.32	0.625	17.000000	12.6	2.0	6.29	1.36e-06	5.06	6.83e-08	1.07
chr11-66	chr11	70669060	70669230	+	5.32	0.621	18.500000	12.6	1.0	12.59	8.32e-10	4.95	9.28e-08	1.01
chr12-24	chr12	72939588	72939758	+	5.32	0.614	17.500000	12.6	3.0	4.20	7.14e-05	4.38	5.45e-07	1.01
chr13-26	chr13	12395045	12395215	+	5.32	0.600	18.500000	12.6	3.0	4.20	7.14e-05	5.26	3.89e-08	0.98
chr13-28	chr13	47273616	47273786	+	5.32	0.524	18.000000	12.6	1.5	8.39	6.82e-08	4.49	3.84e-07	0.95
chr13-31	chr13	69611580	69611750	+	5.32	0.577	18.000000	12.6	1.5	8.39	6.82e-08	5.08	6.38e-08	0.98
chr14-19	chr14	62837402	62837572	+	5.32	0.573	17.000000	12.6	0.5	25.17	3.09e-13	5.88	7.38e-09	1.01
chr15-10	chr15	36794008	36794178	+	5.32	0.609	18.000000	12.6	1.0	12.59	8.32e-10	5.50	1.99e-08	0.98
chr15-15	chr15	78913692	78913862	+	5.32	0.632	17.000000	12.6	1.0	12.59	8.32e-10	4.98	8.67e-08	1.07
chr17-28	chr17	25727330	25727500	+	5.32	0.568	17.500000	12.6	1.0	12.59	8.32e-10	4.40	4.99e-07	0.98
chr17-18	chr17	25919971	25920141	+	5.32	0.527	20.000000	12.6	3.0	4.20	7.14e-05	4.88	1.13e-07	0.93
chr18-19	chr18	36559993	36560163	+	5.32	0.645	17.000000	12.6	0.5	25.17	3.09e-13	5.13	5.55e-08	1.04
chr18-12	chr18	65800232	65800402	+	5.32	0.625	18.500000	12.6	2.0	6.29	1.36e-06	4.93	9.92e-08	0.95
chr19-30	chr19	7039940	7040110	+	5.32	0.584	17.500000	12.6	0.5	25.17	3.09e-13	4.99	8.39e-08	1.04
chr19-13	chr19	14566625	14566795	+	5.32	0.573	20.000000	12.6	1.5	8.39	6.82e-08	4.63	2.44e-07	0.93
chr19-36	chr19	46396712	46396882	+	5.32	0.608	17.000000	12.6	2.0	6.29	1.36e-06	4.33	6.28e-07	1.01
chr19-29	chr19	53599973	53600143	+	5.32	0.652	18.000000	12.6	1.0	12.59	8.32e-10	6.69	1.04e-09	1.01
chr1-134	chr1	166003124	166003294	+	5.18	0.667	17.500000	12.2	3.0	4.08	7.14e-05	4.48	2.67e-07	1.11
chr2-23	chr2	4529463	4529633	+	5.18	0.667	18.000000	12.2	0.5	24.49	3.09e-13	5.77	6.51e-09	0.95
chr2-33	chr2	157566662	157566832	+	5.18	0.700	17.500000	12.2	2.5	4.90	1.26e-05	5.27	2.50e-08	1.07
chr3-19	chr3	57735760	57735930	+	5.18	0.703	17.500000	12.2	2.5	4.90	1.26e-05	7.15	2.38e-10	1.04
chr3-18	chr3	115887906	115888076	+	5.18	0.694	18.000000	12.2	1.5	8.16	6.82e-08	6.80	5.20e-10	0.95
chr4-49	chr4	107367836	107368006	+	5.18	0.788	17.500000	12.2	0.5	24.49	3.09e-13	6.71	6.35e-10	1.04
chr5-23	chr5	137502271	137502441	+	5.18	0.608	18.000000	12.2	1.5	8.16	6.82e-08	4.31	4.58e-07	1.01
chr6-16	chr6	144481274	144481444	+	5.18	0.589	18.000000	12.2	1.5	8.16	6.82e-08	5.63	9.43e-09	0.95
chr7-23	chr7	44468031	44468201	+	5.18	0.689	18.500000	12.2	2.0	6.12	1.36e-06	4.89	7.57e-08	0.98
chr7-41	chr7	44869850	44870020	+	5.18	0.629	17.500000	12.2	1.5	8.16	6.82e-08	5.13	3.75e-08	1.01
chr7-42	chr7	100371933	100372103	+	5.18	0.538	17.500000	12.2	3.0	4.08	7.14e-05	5.61	9.82e-09	1.04
chr8-31	chr8	107031053	107031223	+	5.18	0.606	17.000000	12.2	3.0	4.08	7.14e-05	6.03	3.28e-09	1.07
chr8-32	chr8	120589124	120589294	+	5.18	0.578	17.000000	12.2	2.5	4.90	1.26e-05	5.04	4.82e-08	1.01
chr9-63	chr9	21291271	21291441	+	5.18	0.529	17.000000	12.2	1.5	8.16	6.82e-08	5.58	1.06e-08	1.01
chr9-61	chr9	83686535	83686705	+	5.18	0.603	17.500000	12.2	1.5	8.16	6.82e-08	4.29	4.85e-07	1.04
chr9-55	chr9	104002209	104002379	+	5.18	0.634	18.000000	12.2	1.5	8.16	6.82e-08	5.32	2.15e-08	0.95
chr9-49	chr9	119322770	119322940	+	5.18	0.552	19.500000	12.2	1.0	12.25	8.32e-10	4.80	9.92e-08	0.98
chr10-13	chr10	37141213	37141383	+	5.18	0.643	19.000000	12.2	1.0	12.25	8.32e-10	4.35	4.07e-07	0.95
chr10-19	chr10	79901025	79901195	+	5.18	0.566	17.500000	12.2	0.5	24.49	3.09e-13	5.02	5.17e-08	0.98
chr10-27	chr10	95514815	95514985	+	5.18	0.636	17.000000	12.2	2.5	4.90	1.26e-05	7.18	2.25e-10	1.01
chr11-72	chr11	98794878	98795048	+	5.18	0.721	18.000000	12.2	0.5	24.49	3.09e-13	5.00	5.35e-08	1.07
chr11-44	chr11	101552449	101552619	+	5.18	0.608	20.500000	12.2	0.5	24.49	3.09e-13	5.72	7.38e-09	0.95
chr13-29	chr13	55445033	55445203	+	5.18	0.556	18.000000	12.2	2.0	6.12	1.36e-06	5.04	4.82e-08	0.95
chr13-30	chr13	60177409	60177579	+	5.18	0.579	18.000000	12.2	0.5	24.49	3.09e-13	5.08	4.33e-08	0.98
chr14-15	chr14	67715810	67715980	+	5.18	0.533	18.000000	12.2	3.0	4.08	7.14e-05	5.30	2.32e-08	0.98
chr17-22	chr17	34587082	34587252	+	5.18	0.590	19.500000	12.2	1.0	12.25	8.32e-10	4.33	4.32e-07	0.95
chr18-16	chr18	46525920	46526090	+	5.18	0.586	17.500000	12.2	2.5	4.90	1.26e-05	5.91	4.45e-09	1.01
chr18-20	chr18	53744853	53745023	+	5.18	0.729	17.000000	12.2	1.0	12.25	8.32e-10	5.77	6.51e-09	1.04
chr18-17	chr18	55379884	55380054	+	5.18	0.558	17.500000	12.2	2.5	4.90	1.26e-05	4.82	9.28e-08	1.04
chr19-20	chr19	6979959	6980129	+	5.18	0.543	19.000000	12.2	2.5	4.90	1.26e-05	4.46	2.84e-07	0.98
chr19-24	chr19	43675185	43675355	+	5.18	0.671	18.500000	12.2	2.5	4.90	1.26e-05	5.11	3.89e-08	0.98
chr1-97	chr1	64780181	64780351	+	5.03	0.710	18.500000	11.9	2.5	4.76	6.16e-05	4.40	1.05e-06	0.93
chr1-115	chr1	65179169	65179339	+	5.03	0.609	18.000000	11.9	1.0	11.91	1.00e-08	4.83	2.99e-07	0.93
chr1-138	chr1	72255185	72255355	+	5.03	0.585	17.000000	11.9	0.5	23.81	7.42e-12	5.28	8.69e-08	0.95
chr1-136	chr1	180387552	180387722	+	5.03	0.623	17.500000	11.9	2.5	4.76	6.16e-05	5.37	6.97e-08	0.95
chr2-34	chr2	26445300	26445470	+	5.03	0.479	17.000000	11.9	1.5	7.94	5.52e-07	4.76	3.63e-07	1.01
chr2-37	chr2	37358622	37358792	+	5.03	0.597	17.000000	11.9	0.5	23.81	7.42e-12	5.65	3.37e-08	0.98
chr2-41	chr2	163189982	163190152	+	5.03	0.629	17.000000	11.9	1.5	7.94	5.52e-07	5.00	1.88e-07	0.98
chr3-27	chr3	88531993	88532163	+	5.03	0.615	17.000000	11.9	0.5	23.81	7.42e-12	4.01	3.58e-06	0.95
chr3-29	chr3	132683888	132684058	+	5.03	0.717	17.000000	11.9	0.5	23.81	7.42e-12	7.18	1.08e-09	0.95
chr3-23	chr3	136986293	136986463	+	5.03	0.661	17.500000	11.9	1.5	7.94	5.52e-07	5.22	1.04e-07	0.95
chr4-55	chr4	71518242	71518412	+	5.03	0.571	17.000000	11.9	2.5	4.76	6.16e-05	5.53	4.61e-08	0.98
chr5-17	chr5	103778756	103778926	+	5.03	0.611	18.500000	11.9	0.5	23.81	7.42e-12	5.03	1.70e-07	0.95
chr6-7	chr6	17806674	17806844	+	5.03	0.594	19.000000	11.9	2.0	5.95	8.31e-06	7.61	4.56e-10	0.93
chr6-21	chr6	113012580	113012750	+	5.03	0.625	17.000000	11.9	2.5	4.76	6.16e-05	4.59	5.98e-07	0.98
chr6-12	chr6	113306575	113306745	+	5.03	0.629	18.500000	11.9	0.5	23.81	7.42e-12	4.83	2.99e-07	0.93
chr7-40	chr7	44849027	44849197	+	5.03	0.519	17.500000	11.9	1.5	7.94	5.52e-07	4.11	2.55e-06	0.93
chr7-36	chr7	110061463	110061633	+	5.03	0.515	18.000000	11.9	0.5	23.81	7.42e-12	4.72	4.12e-07	0.93
chr7-51	chr7	127232736	127232906	+	5.03	0.648	17.000000	11.9	2.5	4.76	6.16e-05	5.58	4.10e-08	0.95
chr8-26	chr8	70234262	70234432	+	5.03	0.678	17.000000	11.9	0.5	23.81	7.42e-12	4.91	2.38e-07	0.95
chr8-23	chr8	70761071	70761241	+	5.03	0.600	17.500000	11.9	1.5	7.94	5.52e-07	5.15	1.24e-07	0.95
chr9-51	chr9	88483177	88483347	+	5.03	0.538	19.000000	11.9	1.5	7.94	5.52e-07	4.70	4.39e-07	0.98
chr9-67	chr9	107626968	107627138	+	5.03	0.583	17.000000	11.9	1.5	7.94	5.52e-07	5.35	7.24e-08	0.98
chr10-26	chr10	80053607	80053777	+	5.03	0.606	17.000000	11.9	1.0	11.91	1.00e-08	4.86	2.71e-07	0.98
chr10-17	chr10	83020007	83020177	+	5.03	0.643	18.000000	11.9	2.5	4.76	6.16e-05	5.97	1.56e-08	1.01
chr10-21	chr10	100128329	100128499	+	5.03	0.653	17.500000	11.9	1.0	11.91	1.00e-08	6.04	1.31e-08	0.95
chr11-82	chr11	69901608	69901778	+	5.03	0.580	17.500000	11.9	2.0	5.95	8.31e-06	5.23	1.00e-07	0.98
chr12-20	chr12	104922884	104923054	+	5.03	0.712	18.000000	11.9	1.0	11.91	1.00e-08	4.72	4.12e-07	0.98
chr14-14	chr14	65149944	65150114	+	5.03	0.618	18.000000	11.9	1.5	7.94	5.52e-07	5.41	6.24e-08	0.93
chr15-13	chr15	98881350	98881520	+	5.03	0.574	17.500000	11.9	2.0	5.95	8.31e-06	5.44	5.79e-08	0.95
chr17-30	chr17	79818160	79818330	+	5.03	0.580	17.500000	11.9	2.0	5.95	8.31e-06	5.24	9.68e-08	0.95
chr17-27	chr17	84790677	84790847	+	5.03	0.672	18.000000	11.9	1.0	11.91	1.00e-08	5.83	2.17e-08	0.95
chr19-31	chr19	16353844	16354014	+	5.03	0.683	17.500000	11.9	2.0	5.95	8.31e-06	7.36	7.46e-10	0.95
chr1-137	chr1	12990980	12991150	+	4.89	0.694	17.000000	11.6	1.0	11.57	1.00e-08	5.82	1.49e-08	1.01
chr2-38	chr2	84715405	84715575	+	4.89	0.598	17.000000	11.6	1.0	11.57	1.00e-08	4.98	1.33e-07	0.98
chr3-25	chr3	26146204	26146374	+	4.89	0.627	17.000000	11.6	0.5	23.13	7.42e-12	5.08	1.00e-07	0.95
chr3-24	chr3	141814859	141815029	+	4.89	0.691	17.500000	11.6	1.5	7.71	5.52e-07	5.13	8.69e-08	0.98
chr4-54	chr4	43031530	43031700	+	4.89	0.672	17.000000	11.6	1.5	7.71	5.52e-07	5.04	1.12e-07	1.01
chr4-56	chr4	88218408	88218578	+	4.89	0.690	17.000000	11.6	2.5	4.63	6.16e-05	6.49	3.09e-09	1.01
chr4-57	chr4	98923700	98923870	+	4.89	0.685	17.000000	11.6	1.5	7.71	5.52e-07	4.94	1.48e-07	1.01
chr5-29	chr5	135688937	135689107	+	4.89	0.571	17.000000	11.6	1.0	11.57	1.00e-08	5.31	5.36e-08	1.01
chr5-30	chr5	138622744	138622914	+	4.89	0.652	17.000000	11.6	1.0	11.57	1.00e-08	5.12	9.01e-08	1.01
chr6-20	chr6	87738345	87738515	+	4.89	0.594	17.000000	11.6	1.5	7.71	5.52e-07	4.90	1.64e-07	0.98
chr7-45	chr7	19149269	19149439	+	4.89	0.574	17.000000	11.6	1.5	7.71	5.52e-07	4.87	1.82e-07	1.01
chr8-29	chr8	83955297	83955467	+	4.89	0.573	17.000000	11.6	0.5	23.13	7.42e-12	6.30	4.73e-09	1.05
chr9-66	chr9	107568596	107568766	+	4.89	0.631	17.000000	11.6	0.5	23.13	7.42e-12	4.18	1.40e-06	0.95
chr10-28	chr10	95595963	95596133	+	4.89	0.577	17.000000	11.6	1.0	11.57	1.00e-08	6.01	9.30e-09	0.98
chr11-77	chr11	4849512	4849682	+	4.89	0.564	17.500000	11.6	2.0	5.78	8.31e-06	5.34	4.97e-08	1.01
chr11-78	chr11	18882416	18882586	+	4.89	0.732	17.500000	11.6	0.5	23.13	7.42e-12	4.77	2.38e-07	0.95
chr11-91	chr11	35769297	35769467	+	4.89	0.562	17.000000	11.6	1.5	7.71	5.52e-07	6.87	1.33e-09	1.01
chr11-92	chr11	69094953	69095123	+	4.89	0.543	17.000000	11.6	1.0	11.57	1.00e-08	4.82	2.08e-07	0.98
chr11-74	chr11	103116002	103116172	+	4.89	0.655	18.000000	11.6	2.0	5.78	8.31e-06	4.65	3.41e-07	0.98
chr14-13	chr14	52104070	52104240	+	4.89	0.634	18.500000	11.6	0.5	23.13	7.42e-12	5.60	2.55e-08	0.95
chr15-16	chr15	90819966	90820136	+	4.89	0.745	17.000000	11.6	2.0	5.78	8.31e-06	5.30	5.57e-08	0.98
chr15-14	chr15	103272583	103272753	+	4.89	0.570	17.500000	11.6	1.5	7.71	5.52e-07	5.98	1.01e-08	0.98
chr17-29	chr17	35046735	35046905	+	4.89	0.641	17.500000	11.6	0.5	23.13	7.42e-12	4.77	2.38e-07	0.98
chr19-34	chr19	40612295	40612465	+	4.89	0.583	17.000000	11.6	0.5	23.13	7.42e-12	5.55	2.88e-08	0.95
chr1-127	chr1	46853625	46853795	+	4.75	0.600	17.500000	11.2	0.5	22.45	7.42e-12	5.01	4.22e-07	0.93
chr2-35	chr2	29125023	29125193	+	4.75	0.609	17.000000	11.2	1.5	7.48	5.52e-07	5.17	2.79e-07	0.93
chr2-39	chr2	146834315	146834485	+	4.75	0.627	17.000000	11.2	1.5	7.48	5.52e-07	4.53	1.51e-06	0.96
chr2-40	chr2	152831474	152831644	+	4.75	0.676	17.000000	11.2	1.5	7.48	5.52e-07	4.21	3.78e-06	0.99
chr2-42	chr2	172728464	172728634	+	4.75	0.632	17.000000	11.2	2.5	4.49	6.16e-05	5.05	3.81e-07	0.96
chr3-30	chr3	142882164	142882334	+	4.75	0.661	17.000000	11.2	0.5	22.45	7.42e-12	6.99	4.86e-09	0.99
chr4-58	chr4	107178457	107178627	+	4.75	0.646	17.000000	11.2	0.5	22.45	7.42e-12	4.78	7.65e-07	0.93
chr4-50	chr4	132270144	132270314	+	4.75	0.656	17.500000	11.2	2.0	5.61	8.31e-06	4.59	1.30e-06	0.93
chr5-24	chr5	76665488	76665658	+	4.75	0.691	17.500000	11.2	1.0	11.23	1.00e-08	5.70	7.80e-08	0.93
chr6-18	chr6	55203345	55203515	+	4.75	0.592	17.000000	11.2	2.5	4.49	6.16e-05	5.09	3.44e-07	0.93
chr6-10	chr6	70996607	70996777	+	4.75	0.676	19.000000	11.2	1.5	7.48	5.52e-07	5.12	3.21e-07	0.93
chr7-39	chr7	12977903	12978073	+	4.75	0.745	17.500000	11.2	1.5	7.48	5.52e-07	6.20	2.53e-08	0.93
chr7-30	chr7	16400110	16400280	+	4.75	0.593	18.000000	11.2	1.0	11.23	1.00e-08	4.01	6.94e-06	0.93
chr7-52	chr7	139213000	139213170	+	4.75	0.652	17.000000	11.2	2.0	5.61	8.31e-06	4.84	6.51e-07	0.93
chr9-59	chr9	40801247	40801417	+	4.75	0.632	17.500000	11.2	1.0	11.23	1.00e-08	5.30	2.02e-07	0.96
chr9-65	chr9	57560980	57561150	+	4.75	0.700	17.000000	11.2	1.5	7.48	5.52e-07	5.82	5.89e-08	0.99
chr10-22	chr10	38553787	38553957	+	4.75	0.603	17.000000	11.2	1.0	11.23	1.00e-08	5.55	1.11e-07	0.96
chr11-81	chr11	69527069	69527239	+	4.75	0.639	17.500000	11.2	1.0	11.23	1.00e-08	5.84	5.65e-08	0.93
chr11-93	chr11	69662601	69662771	+	4.75	0.676	17.000000	11.2	0.5	22.45	7.42e-12	5.13	3.10e-07	1.02
chr18-14	chr18	65530400	65530570	+	4.75	0.658	18.000000	11.2	0.5	22.45	7.42e-12	4.46	1.86e-06	0.93
chr9-64	chr9	48649216	48649386	+	4.60	0.600	17.000000	10.9	0.5	21.77	1.63e-10	4.21	2.56e-06	0.96
chr15-18	chr15	102722125	102722295	+	4.60	0.649	17.000000	10.9	1.5	7.26	4.10e-06	5.24	1.56e-07	0.96
chr7-43	chr7	13038100	13038270	+	4.46	0.729	17.000000	10.5	0.5	21.09	1.63e-10	4.07	1.13e-05	0.99
chr7-49	chr7	123370050	123370220	+	4.46	0.632	17.000000	10.5	2.0	5.27	4.65e-05	4.47	3.82e-06	0.93
chr15-19	chr15	103239590	103239760	+	4.46	0.538	17.000000	10.5	1.5	7.03	4.10e-06	4.04	1.25e-05	0.96
chr16-12	chr16	52031188	52031358	+	4.46	0.764	17.000000	10.5	1.0	10.55	1.11e-07	5.11	7.73e-07	0.96
chr5-27	chr5	116209068	116209238	+	4.32	0.623	17.000000	10.2	0.5	20.41	1.63e-10	4.32	3.93e-06	0.96
chr8-30	chr8	84104894	84105064	+	4.32	0.557	17.000000	10.2	2.0	5.10	4.65e-05	4.43	2.92e-06	0.99
